Enzyme	Concentration
R_rxn01462_c_enzyme	1.4846564032310661e-08
R_rxn03860_c_duplicate_2_enzyme	0.0
R_rxn02200_c_duplicate_2_enzyme	0.0
R_rxn09104_c_enzyme	0.0
R_rxn12638_c_duplicate_3_enzyme	0.0
R_rxn08797_c_enzyme	0.0
R_rxn03147_c_enzyme	1.6641442717462095e-05
R_rxn02286_c_enzyme	2.9114112067361213e-08
R_rxn04781_c_enzyme	0.0
R_rxn05614_c_duplicate_2_enzyme	0.0
R_rxn12646_c_enzyme	0.0
R_rxn00085_c_duplicate_3_enzyme	0.0
R_rxn00508_c_enzyme	0.0
R_rxn05040_c_duplicate_2_enzyme	0.0
R_rxn00775_c_duplicate_2_enzyme	0.0
R_rxn01671_c_enzyme	0.0
R_rxn01279_c_enzyme	0.0
R_rxn01513_c_duplicate_2_enzyme	0.0
R_rxn03891_c_enzyme	0.0
R_rxn03970_c_enzyme	0.0
R_EX_cpd00099_e_enzyme	0
R_rxn10053_c_enzyme	7.3509807526202865e-06
R_rxn01199_c_enzyme	0.0
R_rxn05734_c_duplicate_4_enzyme	0.0
R_rxn00369_c_enzyme	0.0
R_rxn05162_c_enzyme	0.0
R_rxn00653_c_enzyme	0.0
R_rxn10131_c_duplicate_2_enzyme	0.0
R_rxn00363_c_enzyme	0.0
R_rxn00608_c_enzyme	0.0
R_rxn05871_c_enzyme	0.0
R_rxn08810_c_enzyme	0.0
R_rxn02792_c_duplicate_2_enzyme	0.0
R_rxn05305_c_duplicate_4_enzyme	0.0
R_rxn05397_c_enzyme	0.0
R_rxn01997_c_enzyme	0.0
R_rxn00650_c_duplicate_4_enzyme	0.0
R_rxn11703_c_enzyme	0.0
R_rxn10770_c_duplicate_8_enzyme	0.0
